Year,Total_Incidents,Minimum Wage SF
2004,65185,8.5
2005,63647,8.62
2006,56161,8.82
2007,55308,9.14
2008,56189,9.36
2009,55002,9.79
2010,50384,9.79
2011,49881,9.92
2012,55784,10.24
2013,62008,10.55
2014,62921,10.74
2015,67377,11.08
2016,64711,13.0
2017,61927,14.0
