Year,Minimum Wage SF
2017,14
2016,13
2015,11.08
2014,10.74
2013,10.55
2012,10.24
2011,9.92
2010,9.79
2009,9.79
2008,9.36
2007,9.14
2006,8.82
2005,8.62
2004,8.5
