Year,Wage,Employment
2004,8.5,102781
2005,8.62,104057.3333
2006,8.82,106236.3333
2007,9.14,109609.0833
2008,9.36,111379.1667
2009,9.79,105213.25
2010,9.79,105006.1667
2011,9.92,108063.5833
2012,10.24,112754.0833
2013,10.55,116815.9167
2014,10.74,121506.0833
2015,11.65,126795.6667
2016,13,128089.9167
2017,14,127281.8333
